name:he,latitude,longitude,belongs,type
נס ציונה,31.9208632,34.7905743,עיר,עיר
רחובות,31.8934429,34.806665,עיר,עיר
מג'דל א-שמס,33.268388,35.776167,עיר,עיר
בוקעאתא,33.2097816,35.7789566,עיר,עיר
מסעדה,33.2303921,35.7745654,עיר,עיר
עין קנייא,33.2391826,35.7342145,עיר,עיר
מצפה רמון,30.6282974,34.8224959,עיר,עיר
ירוחם,31.0127563,34.9124725,עיר,עיר
נאות חובב,31.1181666,34.8430399,עיר,עיר
אשקלון,31.6689613,34.5531364,עיר,עיר
עומר,31.2745169,34.8487248,עיר,עיר
דימונה,31.0780389,35.0850931,עיר,עיר
תל שבע,31.2505692,34.8658582,עיר,עיר
מיתר,31.3236702,34.9374941,עיר,עיר
חורה,31.2957458,34.9405655,עיר,עיר
ערד,31.259903,35.2291369,עיר,עיר
כסייפה,31.240538,35.0912012,עיר,עיר
ערערה בנגב,31.1576075,35.0180527,עיר,עיר
באר שבע,31.2580293,34.7943978,עיר,עיר
שגב שלום,31.2013234,34.829761,עיר,עיר
לקיה,31.3218899,34.8707871,עיר,עיר
אילת,29.6254459,34.944585,עיר,עיר
ע'ג'ר,33.2698823,35.63095,עיר,עיר
קרית שמונה,33.211582,35.5764977,עיר,עיר
מטולה,33.2691661,35.5765482,עיר,עיר
אופקים,31.3080678,34.6361803,עיר,עיר
נתיבות,31.4217959,34.5931104,עיר,עיר
יסוד המעלה,33.061231,35.6049381,עיר,עיר
קצרין,32.9911109,35.6950767,עיר,עיר
רהט,31.3872141,34.7522638,עיר,עיר
להבים,31.3708188,34.809492,עיר,עיר
ראש פינה,32.9924925,35.5572375,עיר,עיר
טובא זנגריה,32.9650651,35.5897844,עיר,עיר
צפת,32.9581555,35.496666,עיר,עיר
חצור הגלילית,32.9851337,35.5421003,עיר,עיר
בית שמש,31.731312,34.9871294,עיר,עיר
קרית גת,31.613324,34.7714058,עיר,עיר
שדרות,31.5328742,34.5999316,עיר,עיר
