hebname,numberofpop,city_heights,busStations,num_fact,pol_fact,amount_of_pol,aqi_global,cars,trees,lat,lan,belogns,type
ע'ג'ר,2806,282,1,0,0,0,70,null,837,33.2698823,35.63095,עיר,עיר
נס ציונה,50341,39,160,0,0,0,58,21802,11066,31.9208632,34.7905743,עיר,עיר
עזוז,86,331,1,0,0,0,59,33.05777196,645,30.7916672,34.4722219,מועצה אזורית רמת נגב,ישוב
רחובות,150748,51,30,4,3,11,57,58707,15554,31.8934429,34.806665,עיר,עיר
שדה בוקר,470,470,1,0,0,0,59,180.6645598,645,30.8737395,34.7925947,מועצה אזורית רמת נגב,ישוב
מג'דל א-שמס,11458,1231,21,0,0,0,70,null,7240,33.268388,35.776167,עיר,עיר
טללים,610,361,1,0,0,0,60,234.4795361,645,30.9919058,34.7700732,מועצה אזורית רמת נגב,ישוב
בוקעאתא,6805,28,39,1,1,2,70,3446,16196,33.2097816,35.7789566,עיר,עיר
מרחב עם,516,511,1,0,0,0,59,198.3466259,645,30.8886192,34.828885,מועצה אזורית רמת נגב,ישוב
מסעדה,3869,1034,16,0,0,0,70,null,9941,33.2303921,35.7745654,עיר,עיר
כמהין,198,225,1,0,0,0,60,76.10975126,645,30.9100139,34.4310272,מועצה אזורית רמת נגב,ישוב
עין קנייא,2190,796,12,0,0,0,70,null,2505,33.2391826,35.7342145,עיר,עיר
באר מילכה,208,291,1,0,0,0,60,79.95367918,645,30.9328457,34.4070405,מועצה אזורית רמת נגב,ישוב
מצפה רמון,5263,712,41,3,2,4,56,null,5719,30.6282974,34.8224959,עיר,עיר
רתמים,651,260,1,0,0,0,61,250.2396368,645,31.0539263,34.690428,מועצה אזורית רמת נגב,ישוב
ירוחם,11170,518,104,4,4,11,58,4082,5622,31.0127563,34.9124725,עיר,עיר
מדרשת בן גוריון,1938,473,1,0,0,0,59,744.95302,645,30.8515927,34.7825759,מועצה אזורית רמת נגב,ישוב
נאות חובב,null,379,13,19,18,60,60,null,4085,31.1181666,34.8430399,עיר,עיר
אורות,475,886,1,0,0,0,59,270.7549189,2003,31.7407214,34.734914,מועצה אזורית באר טוביה,ישוב
אשקלון,153138,63,75,10,10,32,51,61038,6625,31.6689613,34.5531364,עיר,עיר
אור הגנוז,607,55,1,0,0,0,71,322.6624919,7875,33.005079,35.4475065,מועצה אזורית מרום הגליל,ישוב
עומר,7710,331,50,1,1,2,59,null,8743,31.2745169,34.8487248,עיר,עיר
תאשור,461,137,1,0,0,0,62,173.0682909,5957,31.3718709,34.6437068,מועצה אזורית בני שמעון,ישוב
דימונה,36776,469,242,4,4,11,55,15460,11627,31.0780389,35.0850931,עיר,עיר
כרמים,560,405,1,0,0,0,59,210.2347993,5957,31.3356266,34.9190091,מועצה אזורית בני שמעון,ישוב
תל שבע,22849,312,17,0,0,0,59,null,1834,31.2505692,34.8658582,עיר,עיר
מיתר,10947,457,45,0,0,0,59,null,3433,31.3236702,34.9374941,עיר,עיר
נאות הכיכר,448,-350,1,0,0,0,53,200.2072536,1362,30.9330032,35.3772356,מועצה אזורית תמר,ישוב
חורה,24822,674,46,1,1,1,59,4782,772,31.2957458,34.9405655,עיר,עיר
עין תמר,202,-347,1,0,0,0,53,90.27202104,1362,30.943309,35.3747349,מועצה אזורית תמר,ישוב
ערד,28170,488,174,3,3,10,53,11876,9133,31.259903,35.2291369,עיר,עיר
ספיר,498,-14,1,0,0,0,53,297.3989772,1362,30.6140945,35.1846411,מועצה אזורית הערבה התיכונה,ישוב
כסייפה,23990,466,71,0,0,0,54,null,1438,31.240538,35.0912012,עיר,עיר
פארן,537,106,1,0,0,0,52,320.6892573,1362,30.3626131,35.1538972,מועצה אזורית הערבה התיכונה,ישוב
ערערה בנגב,20381,458,98,0,0,0,56,null,887,31.1576075,35.0180527,עיר,עיר
עין יהב,856,-83,1,0,0,0,53,511.1918154,1362,30.6569021,35.2381753,מועצה אזורית הערבה התיכונה,ישוב
באר שבע,214162,52,926,1,1,1,57,86943,49801,31.2580293,34.7943978,עיר,עיר
צופר,492,-2,1,0,0,0,53,293.8158567,1362,30.5586234,35.1801426,מועצה אזורית הערבה התיכונה,ישוב
שגב שלום,null,318,13,0,0,0,61,null,3076,31.2013234,34.829761,עיר,עיר
עידן,432,-181,1,0,0,0,53,257.9846559,1362,30.8060345,35.2994035,מועצה אזורית הערבה התיכונה,ישוב
לקיה,16011,391,20,0,0,0,60,null,1573,31.3218899,34.8707871,עיר,עיר
חצבה,723,45,1,0,0,0,53,431.7659848,1362,30.7677164,35.2796246,מועצה אזורית הערבה התיכונה,ישוב
אילת,53151,46,272,3,3,9,52,23921,39020,29.6254459,34.944585,עיר,עיר
נווה חריף,111,438,1,0,0,0,50,40.24604147,875,30.0389533,35.0358704,מועצה אזורית חבל אילות,ישוב
אילות,375,237,1,0,0,0,52,135.9663591,875,29.5812438,34.962663,מועצה אזורית חבל אילות,ישוב
קרית שמונה,22492,209,184,0,0,0,70,10283,20958,33.211582,35.5764977,עיר,עיר
נאות סמדר,233,407,1,0,0,0,50,84.48043019,875,30.0486435,35.0257351,מועצה אזורית חבל אילות,ישוב
מטולה,1740,445,25,0,0,0,70,null,5378,33.2691661,35.5765482,עיר,עיר
יהל,267,194,1,0,0,0,50,96.80804748,875,30.0819416,35.1287689,מועצה אזורית חבל אילות,ישוב
אופקים,35506,732,183,2,2,8,61,11442,1870,31.3080678,34.6361803,עיר,עיר
קטורה,509,114,1,0,0,0,50,184.5516706,875,29.9696388,35.0610494,מועצה אזורית חבל אילות,ישוב
נתיבות,46374,133,152,1,1,2,62,15175,5300,31.4217959,34.5931104,עיר,עיר
אליפז,170,334,1,0,0,0,51,61.63808313,875,29.7964294,35.0119398,מועצה אזורית חבל אילות,ישוב
יסוד המעלה,1798,95,15,0,0,0,71,1169,11959,33.061231,35.6049381,עיר,עיר
סמר,275,94,1,0,0,0,51,99.70866321,875,29.8333743,35.022744,מועצה אזורית חבל אילות,ישוב
קצרין,7876,331,38,1,1,4,71,null,6975,32.9911109,35.6950767,עיר,עיר
אמנון,466,360,1,0,0,0,71,294.0238093,8412,32.9043478,35.5705088,מועצה אזורית מבואות החרמון,ישוב
רהט,79064,222,369,1,1,2,61,22522,9413,31.3872141,34.7522638,עיר,עיר
נאות מרדכי,694,75,1,0,0,0,70,314.2924113,10120,33.160576,35.5965774,מועצה אזורית גליל עליון,ישוב
להבים,7219,296,41,1,1,2,61,null,7424,31.3708188,34.809492,עיר,עיר
יראון,395,679,1,0,0,0,71,178.8840067,10120,33.0777838,35.455753,מועצה אזורית גליל עליון,ישוב
ראש פינה,3308,308,41,2,2,6,71,null,7856,32.9924925,35.5572375,עיר,עיר
מבוא חמה,481,347,1,0,0,0,67,244.6248117,16349,32.7363463,35.6556132,מועצה אזורית גולן,ישוב
טובא זנגריה,7095,245,16,0,0,0,71,3081,1525,32.9650651,35.5897844,עיר,עיר
נטור,958,418,1,0,0,0,69,487.215319,16349,32.8538055,35.7514617,מועצה אזורית גולן,ישוב
צפת,38029,604,203,1,1,2,71,10179,25696,32.9581555,35.496666,עיר,עיר
כנף,486,293,1,0,0,0,70,247.1676831,16349,32.8694734,35.6979749,מועצה אזורית גולן,ישוב
חצור הגלילית,10047,240,45,0,0,0,71,4110,5200,32.9851337,35.5421003,עיר,עיר
שעל,343,783,1,0,0,0,70,174.4413895,16349,33.1166371,35.7187153,מועצה אזורית גולן,ישוב
בית שמש,154694,74,563,4,4,13,69,27313,52725,31.731312,34.9871294,עיר,עיר
אניעם,499,87,1,0,0,0,70,253.7791635,16349,32.9568708,35.7397621,מועצה אזורית גולן,ישוב
קרית גת,64437,128,246,0,0,0,59,20621,11410,31.613324,34.7714058,עיר,עיר
קשת,878,701,1,0,0,0,70,446.529275,16349,32.980733,35.8085857,מועצה אזורית גולן,ישוב
שדרות,33002,89,177,1,1,4,64,13456,6765,31.5328742,34.5999316,עיר,עיר
אלוני הבשן,518,70,1,0,0,0,70,263.4421007,16349,33.0440867,35.8391653,מועצה אזורית גולן,ישוב
אשדוד,226827,-200,38,2,2,6,63,71242,38526,31.8129899,34.6595346,עיר,עיר
נמרוד,null,1092,1,0,0,0,70,null,16349,33.2452094,35.7510271,מועצה אזורית גולן,ישוב
גן יבנה,24574,155,83,0,0,0,61,11651,11751,31.7904866,34.7006846,עיר,עיר
רמת מגשימים,820,429,1,0,0,0,68,417.0318967,16349,32.8440285,35.8073845,מועצה אזורית גולן,ישוב
גדרה,31438,89,85,0,0,0,63,12955,5068,31.8145383,34.7803155,עיר,עיר
נאות גולן,713,311,1,0,0,0,68,362.6143252,16349,32.7867059,35.6929699,מועצה אזורית גולן,ישוב
"בני עי""ש",6881,38,19,0,0,0,61,35341,0,31.791333,34.7609477,עיר,עיר
אל-רום,470,93,1,0,0,0,70,239.0304743,16349,33.1796457,35.7721224,מועצה אזורית גולן,ישוב
עפולה,61519,144,302,4,4,9,66,23186,31837,32.6089799,35.3108286,עיר,עיר
יונתן,860,548,1,0,0,0,70,437.374914,16349,32.9384707,35.794963,מועצה אזורית גולן,ישוב
אום אל-פחם,58665,139,163,0,0,0,60,25280,70428,32.5324342,35.1512369,עיר,עיר
זוהר,327,122,1,0,0,0,59,141.0097516,8768,31.5956483,34.6937036,מועצה אזורית לכיש,ישוב
מעלה עירון,15861,249,22,0,0,0,62,null,22893,32.5496539,35.175703,עיר,עיר
שקף,601,417,1,0,0,0,58,259.1647111,8768,31.5156708,34.9377978,מועצה אזורית לכיש,ישוב
בית שאן,19073,302,96,5,5,14,58,7915,2679,32.5017959,35.4956685,עיר,עיר
אליאב,763,31,1,0,0,0,58,329.0227538,8768,31.529931,34.9314799,מועצה אזורית לכיש,ישוב
קרית מלאכי,25705,62,88,0,0,0,58,9576,3062,31.7309347,34.752318,עיר,עיר
כרמי קטיף,678,337,1,0,0,0,58,292.3688453,8768,31.5372434,34.9126772,מועצה אזורית לכיש,ישוב
יבנה,56232,30,209,1,1,2,67,24317,18963,31.8816585,34.7149299,עיר,עיר
איתנים,61,1050,1,0,0,0,62,32.66611885,13314,31.7790429,35.095001,מועצה אזורית מטה יהודה,ישוב
מבשרת ציון,25487,720,114,0,0,0,57,null,13457,31.7966713,35.1520742,עיר,עיר
מזכרת בתיה,15726,62,43,1,1,3,60,null,2332,31.840541,34.8442926,עיר,עיר
אלון הגליל,1135,662,1,0,0,0,63,583.4959893,7744,32.7571188,35.2199802,מועצה אזורית עמק יזרעאל,ישוב
ירושלים,981711,715,2258,10,8,24,57,300861,223028,31.7961435,35.1751235,עיר,עיר
כפר אוריה,910,199,1,0,0,0,62,487.3142606,13314,31.7919952,34.9465718,מועצה אזורית מטה יהודה,ישוב
קרית עקרון,10993,55,41,0,0,0,59,null,1336,31.8615112,34.8225839,עיר,עיר
תרום,966,284,1,0,0,0,65,517.3028304,13314,31.7825667,34.9815088,מועצה אזורית מטה יהודה,ישוב
מודיעין-מכבים-רעות,99171,294,365,1,1,2,54,44930,57133,31.8954236,34.9873159,עיר,עיר
צלפון,1095,168,1,0,0,0,60,586.383626,13314,31.8041263,34.9327461,מועצה אזורית מטה יהודה,ישוב
